2021-06-15 23:00:12 EvalCallBack metricdict_values([0.75928004053801768]); eval_time2s
2021-06-15 23:01:56 EvalCallBack metricdict_values([0.76226160946598265]); eval_time2s
2021-06-15 23:03:35 EvalCallBack metricdict_values([0.76422538824930886]); eval_time2s
2021-06-15 23:05:21 EvalCallBack metricdict_values([0.76568268020304564]); eval_time2s
2021-06-15 23:07:03 EvalCallBack metricdict_values([0.76662965398668292]); eval_time2s
2021-06-15 23:08:41 EvalCallBack metricdict_values([0.76735876081680554]); eval_time2s
2021-06-15 23:10:23 EvalCallBack metricdict_values([0.76793100998337582]); eval_time2s
2021-06-15 23:12:07 EvalCallBack metricdict_values([0.76785687121178448]); eval_time2s
2021-06-15 23:14:04 EvalCallBack metricdict_values([0.76834274396152447]); eval_time4s
2021-06-15 23:16:22 EvalCallBack metricdict_values([0.76836242211099948]); eval_time2s
2021-06-15 23:18:16 EvalCallBack metricdict_values([0.76827869901410839]); eval_time2s
2021-06-15 23:20:07 EvalCallBack metricdict_values([0.76822703395058978]); eval_time2s
2021-06-15 23:21:52 EvalCallBack metricdict_values([0.76798315325326483]); eval_time2s
2021-06-15 23:23:39 EvalCallBack metricdict_values([0.76793193481913458]); eval_time2s
2021-06-15 23:25:26 EvalCallBack metricdict_values([0.76775313200636508]); eval_time2s
2021-06-15 23:27:09 EvalCallBack metricdict_values([0.76778172197676176]); eval_time2s
2021-06-15 23:29:25 EvalCallBack metricdict_values([0.76761718001191248]); eval_time4s
2021-06-16 16:26:33 EvalCallBack metricdict_values([0.71664451493048542]); eval_time13s
2021-06-16 16:29:38 EvalCallBack metricdict_values([0.75350102075639813]); eval_time14s
2021-06-16 16:32:40 EvalCallBack metricdict_values([0.76066323961954796]); eval_time13s
2021-06-16 16:35:43 EvalCallBack metricdict_values([0.76529249994732074]); eval_time13s
2021-06-16 16:38:57 EvalCallBack metricdict_values([0.76995171193241108]); eval_time15s
2021-06-16 16:42:15 EvalCallBack metricdict_values([0.77274249201654044]); eval_time13s
2021-06-16 16:45:17 EvalCallBack metricdict_values([0.77438859779238456]); eval_time13s
2021-06-16 16:48:25 EvalCallBack metricdict_values([0.77511936662429193]); eval_time13s
2021-06-16 16:51:30 EvalCallBack metricdict_values([0.77510351865787475]); eval_time13s
2021-06-16 17:03:26 AUC: 0.7751035186578747, eval time: 12.66382122039795s.
